strategy,sharpe,max_drawdown,total_return,win_rate,calmar
ppo,0.0,0.0,0.0,0.0,0.0
buy_hold,0.87409715166034,0.38390333945342203,0.7918193160230621,1.0,1.4279182988641101
mean_rev,0.4966047503542432,0.353702428244753,0.265372325710312,0.058823529411764705,0.5194177018420194
momentum,0.48557623559427054,0.17104007770094085,0.2226128673605597,0.6,0.9010554868307321
random,0.8308269261454831,0.24742100476261705,0.5021277682464368,0.8137931034482758,1.4050016360244995
