asset,strategy,sharpe,max_drawdown,total_return,win_rate,calmar
btc,buy_hold,1.2585451479826124,0.2618203300847661,1.0606627370703885,1.0,2.8046140327614175
btc,mean_rev,0.41553770563095993,0.21689513512278233,0.1827439575432949,0.08333333333333333,0.5833005311915106
btc,momentum,0.7563774188680926,0.16026208455788726,0.30292866223022136,0.6666666666666666,1.3086054862010068
btc,random,1.1233310884735255,0.16254582252482863,0.5558151577143512,0.8206896551724138,2.3673023594813185
eth,buy_hold,0.6458625920585764,0.45311533109164,0.42471376254908794,1.0,0.6489133884154757
eth,mean_rev,0.1782856552755879,0.3556611633899208,0.056472144829008905,0.07692307692307693,0.10992513181253595
eth,momentum,-0.45171677608596245,0.21049766069211223,-0.05175761692830456,0.25,-0.1702261023574538
eth,random,0.835996228543655,0.18117629234330718,0.4594954625355842,0.6896551724137931,1.7558160572746557
sol,buy_hold,0.8740971516603404,0.38390333945342203,0.7918193160230621,1.0,1.4279182988641101
sol,mean_rev,0.49660475035424345,0.353702428244753,0.265372325710312,0.058823529411764705,0.5194177018420194
sol,momentum,0.4855762355942711,0.17104007770094085,0.2226128673605597,0.6,0.9010554868307321
sol,random,0.8308269261454831,0.24742100476261705,0.5021277682464368,0.8137931034482758,1.4050016360244995
