date,open,high,low,close,volume,rsi,macd,macd_signal,macd_diff,bb_upper,bb_lower,bb_mid,bb_width,ema50,ema50_dist,vol_zscore,split
2020-01-02,130.82003784179688,130.82003784179688,126.95491027832033,127.4101791381836,8032709256,0.0,-0.2705727601662886,-0.054114552033257726,-0.2164582081330309,132.4979133605957,125.71426773071289,129.1060905456543,0.05254318832839253,130.66898929371555,-0.024939430335738363,0.7071067811865476,train
2020-01-03,127.41126251220705,134.55401611328125,126.49002075195312,134.1717071533203,10476845358,68.22192470660349,0.05990463703818705,-0.03131071421896877,0.09121535125715582,136.31540376650727,125.27385506324535,130.7946294148763,0.08441897616635688,130.80635077840594,0.025727775103331886,1.154039011385128,train
2020-01-04,134.16851806640625,136.05271911621094,133.04055786132812,135.06936645507812,7430904515,71.04604522737552,0.389751150235611,0.05290165867194718,0.33684949156366384,137.9101512495086,125.81647610034493,131.86331367492676,0.09171372091389535,130.97352786376564,0.031272262861949035,-0.7608154681590586,train
2020-01-05,135.0720977783203,139.4102020263672,135.04562377929688,136.2767791748047,7526675353,74.34823335636517,0.7400541208358788,0.19033215110473353,0.5497219697311453,139.20493466291998,126.28707888688473,132.74600677490236,0.09731257526970348,131.18149850341422,0.038841458052545845,-0.6008974936149586,train
2020-01-06,136.3055419921875,144.32818603515625,136.0796356201172,144.3041534423828,9093747121,85.87905318247648,1.6464346904196816,0.48155265896772315,1.1648820314519583,145.11180309084995,124.2329260147816,134.67236455281576,0.1550346067316586,131.69611242258947,0.09573586332857252,0.579200627061286,train
2020-01-07,144.31199645996094,145.00177001953125,140.48887634277344,143.5439910888672,9257954672,82.1147747392468,2.277159396902391,0.8406740065546567,1.4364853903477344,147.4272458612009,124.45223368330244,135.93973977225167,0.16900879916638015,132.16073511538465,0.08613190569456378,0.6474874194950817,train
2020-01-08,143.48782348632812,146.8280029296875,138.26820373535156,141.2581329345703,9387194957,71.90777822744386,2.563018737001613,1.185142952644048,1.377875784357565,147.91127442899113,125.29780340609186,136.6045389175415,0.16553967534379974,132.51749581417624,0.06595836320851324,0.6926985597340856,train
2020-01-09,141.15577697753906,141.39398193359375,136.2364044189453,138.9792022705078,7697325348,63.44108575421152,2.575979377986016,1.4633102377124416,1.1126691402735744,147.63246652800063,126.10431427440824,136.86839040120444,0.15729089960425915,132.77089606736573,0.04675954133797588,-0.7975163793708687,train
2020-01-10,138.967041015625,144.16732788085938,135.52040100097656,143.96377563476562,9084816203,71.37896966248724,2.95440762003156,1.7615297141762651,1.192877905855295,148.64150964499945,126.51434820412166,137.57792892456055,0.16083365706872202,133.20983252098927,0.08072934940505919,0.4884026648524756,train
2020-01-11,143.4091033935547,146.4809112548828,142.2079620361328,142.92710876464844,9332208590,68.06876217028736,3.1345314482911704,2.0361300609992465,1.0984013872919238,149.0521373694021,127.07629863246228,138.0642180009322,0.15917113829443796,133.59090217760337,0.06988654492828399,0.68475373321992,train
2020-01-12,143.0325469970703,146.14585876464844,142.7076416015625,145.87393188476562,8528167453,72.03836484612182,3.475007158665818,2.323905480532561,1.1511016781332568,150.08646126433774,127.3435937181655,138.71502749125162,0.16395388414284515,134.07258961709994,0.08802203568506681,-0.12853778470804988,train
