date,open,high,low,close,volume,rsi,macd,macd_signal,macd_diff,bb_upper,bb_lower,bb_mid,bb_width,ema50,ema50_dist,vol_zscore,split
2020-04-11,0.9510539770126344,1.0490729808807373,0.7650200128555298,0.7768189907073975,43862444,0.0,-0.013899087226628692,-0.0027798174453257385,-0.011119269781302954,1.0381714701652527,0.689701497554779,0.8639364838600159,0.4033513795522686,0.9442212324516448,-0.17729133384301468,-0.7071067811865476,train
2020-04-12,0.7854480147361755,0.9566699862480164,0.7624260187149048,0.8825070261955261,38736897,39.512845021923276,-0.01619933692676756,-0.005463721341614103,-0.010735615585153457,1.0134622859604892,0.7267910433165494,0.8701266646385193,0.3294592089796867,0.9418010675004245,-0.06295813771189171,-0.670605485163587,train
2020-04-13,0.8907600045204163,0.8916029930114746,0.7739760279655457,0.7778319716453552,18211285,27.797670595670667,-0.026167065836271486,-0.00960439024054558,-0.016562675595725905,0.9946929521760641,0.6994130306043924,0.8470529913902283,0.3485967520013626,0.9353709068786571,-0.16842402738290313,-0.9916352661867077,train
2020-04-14,0.7778319716453552,0.7964720129966736,0.6281690001487732,0.6619250178337097,16747614,20.536731884292507,-0.04292447863825044,-0.016268407920086554,-0.026656070718163886,1.00845209533382,0.6116026980240291,0.8100273966789245,0.48992095691683446,0.9246475386808161,-0.28413261254329353,-0.8476219515716644,train
2020-04-15,0.6692889928817749,0.7049639821052551,0.6215310096740723,0.646651029586792,13075275,19.802664970110854,-0.056782775723449475,-0.024371281480759142,-0.03241149424269033,1.001061831913322,0.5645341724138162,0.7827980021635691,0.5576504517040035,0.9137457147947758,-0.29230745587460555,-0.830677559721935,train
2020-04-16,0.6308789849281311,0.7741919755935669,0.6251069903373718,0.6908159852027893,21346031,27.834985815026783,-0.06347018836814466,-0.03219106285823625,-0.03127912550990841,0.9817367697759594,0.5575786582766704,0.7696577140263149,0.5510996690728768,0.9050033724578352,-0.23667026419288298,-0.49069356569928,train
2020-04-17,0.6893119812011719,0.7196140289306641,0.6607279777526855,0.6607279777526855,9870810,25.92962324106375,-0.07038649016991538,-0.03983014832057208,-0.030556341849343305,0.9671020887868237,0.5449809051973987,0.7560414969921112,0.5583307070694157,0.8954239452144961,-0.2621059764105257,-0.8274971195290644,train
2020-04-18,0.6607279777526855,0.7176179885864258,0.6594269871711731,0.6810960173606873,9782112,29.450270120524152,-0.07337831901830061,-0.046539782460117786,-0.026838536558182823,0.9522036996933139,0.5432247432617032,0.7477142214775085,0.5469722852448284,0.8870189284359153,-0.23215165367252413,-0.7571221294330172,train
2020-04-19,0.6815159916877747,0.6846410036087036,0.5984870195388794,0.6069689989089966,9289670,24.825520176851597,-0.08079939073875675,-0.05339170411584558,-0.027407686622911168,0.9452186924931103,0.5220607059482043,0.7336396992206573,0.5767926503901372,0.8760365782583891,-0.30714194592686334,-0.7175293912347881,train
2020-04-20,0.6129480004310608,0.6392539739608765,0.5205780267715454,0.538811981678009,8342616,21.484740646927975,-0.09112985695709885,-0.06093933468409624,-0.03019052227300261,0.9466749414235308,0.48518123564639326,0.715928088534962,0.6446090231234176,0.8628120842748448,-0.37551641719198153,-0.70464275888374,train
2020-04-21,0.5413870215415955,0.6045860052108765,0.5085489749908447,0.5876590013504028,9711507,28.872291054301414,-0.09428838183284982,-0.06760914411384697,-0.026679237719002852,0.9372613974710579,0.4732165984014397,0.7052389979362488,0.6579965095911589,0.8520217672974156,-0.31027700945430375,-0.6106530039852153,train
2020-04-22,0.5811660289764404,0.7069640159606934,0.5696210265159607,0.6916009783744812,18828400,41.48841234029971,-0.08739683042779556,-0.07156668137663669,-0.01583014905115887,0.9272282879793862,0.48115155103745477,0.7041899195084205,0.6334608385949742,0.8457307559671046,-0.18224449862459344,-0.20900646032114603,train
2020-04-23,0.6853470206260681,0.6980770230293274,0.6003220081329346,0.6274570226669312,13485271,37.11350863536393,-0.08611838826742613,-0.07447702275479458,-0.011641365512631549,0.9172380028396977,0.48017999377121623,0.698708998305457,0.6255222276061362,0.8371710017200389,-0.2505031572071089,-0.4309540772171155,train
2020-04-24,0.6240209937095642,0.671019971370697,0.6139410138130188,0.6342419981956482,9064190,37.85994119025909,-0.08359410205097195,-0.07630043861403006,-0.007293663436941891,0.9079659801593134,0.4808564164369593,0.6944111982981364,0.6150672177653739,0.8292130015818275,-0.2351277693599205,-0.6075864279000353,train
2020-04-25,0.6305279731750488,0.6709480285644531,0.6215469837188721,0.6433290243148804,7311905,38.90584334090356,-0.07993885461773176,-0.07702812181477041,-0.0029107328029613494,0.8994656932128404,0.4829714316355253,0.6912185624241829,0.602550747648648,0.8219234338458689,-0.21728837769635778,-0.6599590121300256,train
2020-04-26,0.6532149910926819,0.6914989948272705,0.6311709880828857,0.6355059742927551,8320760,38.30805354689433,-0.07678813364339432,-0.0769801241804952,0.00019199053710088065,0.8916647974036978,0.48421790531155895,0.6879413513576284,0.5922698080120588,0.8146129452359429,-0.2198675726805588,-0.587177525608108,train
2020-04-27,0.6357139945030212,0.6602830290794373,0.561028003692627,0.5723720192909241,7406934,33.795117348438694,-0.07848086850816616,-0.07728027304602939,-0.001200595462136772,0.8864614942285448,0.47658017159041133,0.6815208329094781,0.6014215602013377,0.8051133010812362,-0.2890789178091451,-0.6084681697045188,train
2020-04-28,0.5782529711723328,0.692147970199585,0.5684840083122253,0.6612930297851562,7470201,43.831711735216345,-0.0718193024681123,-0.07618807893044596,0.004368776462333662,0.8801352515482888,0.48077717183652835,0.6804562116924086,0.586897544396707,0.7994732904421743,-0.17283912084241493,-0.5841161276999091,train
